ID,类型,推理功能,名称,文字描述
CA023,Logic,"BⅡ
","可怜的导演
","《饮鸩止渴》可能涉及导演找枪手的道德问题。该质量上乘的影片也因不良社会影响没再放映，但具体原因不明。
"
CA024,Logic,"CⅡ
",你的记忆,"你发现自己在出车祸前也梦见了黑衣女人。
"
CA025,Power,,AAA娱乐公司,
CA026,Item,,鬼屋,"村口的破败小屋，似乎无人居住。墙壁和门上被贪玩的孩子画了些涂鸦，其中当然也有从大人口中听来的“鬼屋”二字，至于其背后的故事是什么，有待探明。
"
CA027,Item,C5,受伤的小狗,"村口一个隐秘的角落里散落着几件破衣服和一只蜷缩在破衣服中间的小狗。小狗的肚子上被划了个口子，正奄奄一息地叫着。它一路行至此处的血迹大部分已经被雪覆盖了。
"
CA028,Item,A5,一幅画像,"画着一个身披黑袍在雪中行走，手中抱着一只羊羔的女孩。她行走的足迹是一个六边形。
"
CA029,Item,,死老鼠,
CA030,Item,,手抄诗集,"本子是常见的学校统一发的练习册，封面姓名那块写的王莉莉，字迹狂放，笔锋凌厉。你粗浅翻看后，发现里边抄写的大多是著名诗人或戏剧家的作品。
"
CA031,Item,B5,大树,"非——常——大。
你辨别不出是什么树种，不过它的一边树枝上开着一半红一半白的花。
"
CA032,Power,,风坑村,"偏僻的村落，由于地理位置太过特殊，即使是X025年仍然发展十分落后。
"
CA033,Memory,A6,王兴往事,"六边形邪教创始人王兴是风坑村人，疑似人生突然失意打击过大走上歧途。
"
CA034,Memory,B6,秘密基地,"王莉莉也就是年少时的李弦常在放课后跑到后山坟地读诗、读戏剧。
"
CA035,Memory,C6,孙哥回忆,"在这天，孙哥的杂货店来了一个奇怪的“回头客”。
王莉莉反复来购买了几次物品，按顺序分别是一瓶农药、一袋牛奶和一根火腿肠、一瓶农药、两罐啤酒、一把水果刀。
"
CA036,Logic,AⅢ,六边形教起源,"六边形教创始人疑似与王莉莉（少年李弦）有联系，或许该教起源也是。
"
CA037,Logic,BⅢ,"漫山的观众
","风坑村的后山坟场是专属少年李弦的天然剧场。虽然少女是在想象中将后山的一切作为观众，但或许大树、石头中都有灵魂在每天傍晚等候少女开场。
"
CA038,Logic,CⅢ,生命之重,"少年李弦几次来到杂货店，她的食物是买给那不在老地方、遗失踪迹的小狗的。一圈又一圈的徘徊是在寻找脆弱幼小生命的庇护所。至于两瓶农药去了哪里，或许只有李弦自己知道。
"
